filename,split
mz_249.017-17d1.jpg,train
mz_190.94-17d2.jpg,train
mz_172.514-17d8.jpg,train
mz_739.17-17d1.jpg,train
mz_293.045-17d8.jpg,train
mz_200.001-17d1.jpg,train
mz_311.107-17d11.jpg,train
mz_130.978-17d2.jpg,train
mz_129.032-17d2.jpg,train
mz_396.975-17d2.jpg,train
mz_232.901-17d8.jpg,train
mz_279.119-17d8.jpg,train
mz_264.95-17d8.jpg,train
mz_330.993-17d2.jpg,train
mz_222.928-17d1.jpg,train
mz_312.992-17d1.jpg,train
mz_299.005-17d2.jpg,train
mz_171.115-17d8.jpg,train
mz_662.181-17d2.jpg,train
mz_161.993-17d11.jpg,train
mz_623.078-17d8.jpg,train
mz_176.953-17d11.jpg,train
mz_607.145-17d2.jpg,train
mz_233.996-17d11.jpg,train
mz_98.991-17d8.jpg,train
mz_232.05-17d8.jpg,train
mz_121.978-17d2.jpg,train
mz_103.187-17d8.jpg,train
mz_675.074-17d8.jpg,train
mz_293.106-17d2.jpg,train
mz_255.098-17d11.jpg,train
mz_254.976-17d1.jpg,train
mz_255.159-17d11.jpg,train
mz_248.895-17d1.jpg,train
mz_231.928-17d1.jpg,train
mz_739.11-17d11.jpg,train
mz_823.214-17d2.jpg,train
mz_113.16-17d8.jpg,train
mz_173-17d1.jpg,train
mz_589.205-17d1.jpg,train
mz_195.927-17d1.jpg,train
mz_220.982-17d2.jpg,train
mz_229.009-17d1.jpg,train
mz_116.992-17d1.jpg,train
mz_192.947-17d2.jpg,train
mz_662.181-17d8.jpg,train
mz_236.003-17d2.jpg,train
mz_114.985-17d2.jpg,train
mz_283.133-17d8.jpg,train
mz_103.491-17d8.jpg,train
mz_606.172-17d11.jpg,train
mz_260.024-17d1.jpg,train
mz_171.115-17d2.jpg,train
mz_741.056-17d2.jpg,train
mz_739.11-17d8.jpg,train
mz_166.98-17d2.jpg,train
mz_693.135-17d8.jpg,train
mz_447.024-17d1.jpg,train
mz_83.97-17d8.jpg,train
mz_141.013-17d2.jpg,train
mz_604.165-17d1.jpg,train
mz_302.958-17d11.jpg,train
mz_164.973-17d2.jpg,train
mz_147.945-17d8.jpg,train
mz_173.304-17d2.jpg,train
mz_165.946-17d8.jpg,train
mz_214.961-17d8.jpg,train
mz_220.982-17d11.jpg,train
mz_245.003-17d2.jpg,train
mz_295.113-17d2.jpg,train
mz_197.934-17d1.jpg,train
mz_391.015-17d1.jpg,train
mz_738.988-17d8.jpg,train
mz_184.068-17d1.jpg,train
mz_276.991-17d11.jpg,train
mz_103.187-17d2.jpg,train
mz_103.004-17d11.jpg,train
mz_171.054-17d8.jpg,train
mz_287.998-17d2.jpg,train
mz_311.958-17d11.jpg,train
mz_644.12-17d1.jpg,train
mz_405.975-17d8.jpg,train
mz_311.107-17d2.jpg,train
mz_143.019-17d11.jpg,train
mz_113.038-17d11.jpg,train
mz_113.829-17d11.jpg,train
mz_690.155-17d8.jpg,train
mz_197.021-17d8.jpg,train
mz_170.993-17d11.jpg,train
mz_824.127-17d8.jpg,train
mz_240.989-17d11.jpg,train
mz_306.972-17d1.jpg,train
mz_265.984-17d1.jpg,train
mz_284.045-17d2.jpg,train
mz_103.248-17d8.jpg,train
mz_233.996-17d1.jpg,train
mz_585.07-17d2.jpg,train
mz_246.949-17d11.jpg,train
mz_366.994-17d11.jpg,train
mz_825.16-17d2.jpg,train
mz_350.94-17d8.jpg,train
mz_172.027-17d11.jpg,train
mz_312.931-17d8.jpg,train
mz_280.943-17d11.jpg,train
mz_224.996-17d1.jpg,train
mz_199.028-17d2.jpg,train
mz_114.924-17d8.jpg,train
mz_171.237-17d2.jpg,train
mz_308.918-17d8.jpg,train
mz_249.868-17d11.jpg,train
mz_739.11-17d1.jpg,train
mz_171.966-17d11.jpg,train
mz_180.906-17d11.jpg,train
mz_216.968-17d2.jpg,train
mz_282.16-17d1.jpg,train
mz_256.193-17d1.jpg,train
mz_577.043-17d8.jpg,train
mz_278.025-17d1.jpg,train
mz_721.231-17d11.jpg,train
mz_157.067-17d1.jpg,train
mz_173.061-17d8.jpg,train
mz_416.922-17d8.jpg,train
mz_396.914-17d8.jpg,train
mz_344.98-17d1.jpg,train
mz_622.105-17d8.jpg,train
mz_279.18-17d1.jpg,train
mz_230.955-17d2.jpg,train
mz_171.054-17d11.jpg,train
mz_198.967-17d8.jpg,train
mz_295.174-17d2.jpg,train
mz_227.063-17d1.jpg,train
mz_232.05-17d2.jpg,train
mz_340.966-17d1.jpg,train
mz_245.003-17d8.jpg,train
mz_183.034-17d8.jpg,train
mz_670.208-17d1.jpg,train
mz_256.132-17d2.jpg,train
mz_127.026-17d2.jpg,train
mz_268.963-17d11.jpg,train
mz_112.978-17d1.jpg,train
mz_147.033-17d11.jpg,train
mz_446.964-17d8.jpg,train
mz_96.984-17d1.jpg,train
mz_204.988-17d2.jpg,train
mz_592.246-17d1.jpg,train
mz_396.975-17d8.jpg,train
mz_395.212-17d11.jpg,train
mz_96.984-17d11.jpg,train
mz_248.956-17d1.jpg,train
mz_249.99-17d2.jpg,train
mz_145.999-17d11.jpg,train
mz_262.943-17d8.jpg,train
mz_294.991-17d1.jpg,train
mz_113.039-17d2.jpg,train
mz_590.178-17d1.jpg,train
mz_224.995-17d8.jpg,train
mz_250.963-17d11.jpg,train
mz_314.999-17d2.jpg,train
mz_121.005-17d1.jpg,train
mz_180.967-17d8.jpg,train
mz_256.132-17d8.jpg,train
mz_327.952-17d1.jpg,train
mz_206.995-17d2.jpg,train
mz_263.004-17d2.jpg,train
mz_232.111-17d8.jpg,train
mz_312.992-17d11.jpg,train
mz_248.834-17d2.jpg,train
mz_171.358-17d1.jpg,train
mz_184.007-17d1.jpg,train
mz_240.989-17d1.jpg,train
mz_113.951-17d2.jpg,train
mz_823.154-17d2.jpg,train
mz_149.952-17d11.jpg,train
mz_188.994-17d8.jpg,train
mz_693.196-17d2.jpg,train
mz_180.967-17d1.jpg,train
mz_249.99-17d11.jpg,train
mz_112.978-17d2.jpg,train
mz_205.961-17d11.jpg,train
mz_263.977-17d2.jpg,train
mz_576.982-17d8.jpg,train
